
#global file variables
<Header>
"path",assets/minecraft/textures/items
diamond_shovel,"path","path2"
gold_shovel,"path","path2"
fishing_rod_cast,"path","path2"
repeater,"path","path2"
porkchop_raw,"path","path2"
porkchop_cooked,"path","path2"
fish_raw,"path","path2"
fish_cooked ,"path","path2"
rotten_flesh,"path","path2"
cookie,"path","path2"
shears,"path","path2"
dye_powder_red,"path","path2"
dye_powder_pink,"path","path2"

#Row 7
wood_pickaxe,"path","path2"
stone_pickaxe,"path","path2"
iron_pickaxe,"path","path2"
diamond_pickaxe,"path","path2"
gold_pickaxe,"path","path2"
bow_pulling_0,"path","path2"
carrot_on_a_stick,"path","path2"
leather,"path","path2"
saddle,"path","path2"
beef_raw,"path","path2"
beef_cooked,"path","path2"
ender_pearl,"path","path2"
blaze_rod,"path","path2"
melon,"path","path2"
dye_powder_green,"path","path2"
dye_powder_lime,"path","path2"

#Row 8
wood_axe,"path","path2"
stone_axe,"path","path2"
iron_axe,"path","path2"
diamond_axe,"path","path2"
gold_axe,"path","path2"
bow_pulling_1,"path","path2"
potato_baked,"path","path2"
potato,"path","path2"
carrot,"path","path2"
chicken_raw,"path","path2"
chicken_cooked,"path","path2"
ghast_tear,"path","path2"
gold_nugget,"path","path2"
nether_wart,"path","path2"
dye_powder_brown,"path","path2"
dye_powder_yellow,"path","path2"

#Row 9
wood_hoe,"path","path2"
stone_hoe,"path","path2"
iron_hoe,"path","path2"
diamond_hoe,"path","path2"
gold_hoe,"path","path2"
bow_pulling_2,"path","path2"
potato_poisonous,"path","path2"
minecart_normal,"path","path2"
oak_boat,"path","path2"
melon_speckled,"path","path2"
spider_eye_fermented,"path","path2"
spider_eye,"path","path2"
potion_bottle_empty,"path","path2"
potion_overlay,"path","path2"
dye_powder_blue,"path","path2"
dye_powder_light_blue,"path","path2"

#Row 10
leather_helmet_overlay,"path","path2"
spectral_arrow,"path","path2"
iron_horse_armor,"path","path2"
diamond_horse_armor,"path","path2"
gold_horse_armor,"path","path2"
comparator,"path","path2"
carrot_golden,"path","path2"
minecart_chest,"path","path2"
pumpkin_pie,"path","path2"
spawn_egg,"path","path2"
potion_bottle_splash,"path","path2"
ender_eye,"path","path2"
cauldron,"path","path2"
blaze_powder,"path","path2"
dye_powder_purple,"path","path2"
dye_powder_magenta,"path","path2"

#Row 11
leather_chestplate_overlay,"path","path2"
tipped_arrow_base,"path","path2"
dragon_breath,"path","path2"
name_tag,"path","path2"
lead,"path","path2"
netherbrick,"path","path2"
fish_clownfish_raw,"path","path2"
minecart_furnace,"path","path2"
charcoal,"path","path2"
spawn_egg_overlay,"path","path2"
bed_overlay,"path","path2"
experience_bottle,"path","path2"
brewing_stand,"path","path2"
magma_cream,"path","path2"
dye_powder_cyan,"path","path2"
dye_powder_orange,"path","path2"

#Row 12
leather_leggings_overlay,"path","path2"
tipped_arrow_head,"path","path2"
potion_bottle_lingering,"path","path2"
barrier,"path","path2"
mutton_raw,"path","path2"
rabbit_raw,"path","path2"
fish_pufferfish_raw,"path","path2"
minecart_hopper,"path","path2"
hopper,"path","path2"
nether_star,"path","path2"
emerald,"path","path2"
book_writable,"path","path2"
book_written,"path","path2"
flower_pot,"path","path2"
dye_powder_silver,"path","path2"
dye_powder_white,"path","path2"

#Row 13
leather_boots_overlay,"path","path2"
beetroot,"path","path2"
beetroot_seeds,"path","path2"
beetroot_soup,"path","path2"
mutton_cooked,"path","path2"
rabbit_cooked,"path","path2"
fish_salmon_raw,"path","path2"
minecart_tnt,"path","path2"
wooden_armorstand,"path","path2"
fireworks,"path","path2"
fireworks_charge,"path","path2"
fireworks_charge_overlay,"path","path2"
quartz,"path","path2"
map_empty,"path","path2"
item_frame,"path","path2"
book_enchanted,"path","path2"

#Row 14
door_acacia,"path","path2"
door_birch,"path","path2"
door_dark_oak,"path","path2"
door_jungle,"path","path2"
door_spruce,"path","path2"
rabbit_stew,"path","path2"
fish_salmon_cooked,"path","path2"
minecart_command_block,"path","path2"
acacia_boat,"path","path2"
birch_boat,"path","path2"
dark_oak_boat,"path","path2"
jungle_boat,"path","path2"
spruce_boat,"path","path2"
prismarine_shard,"path","path2"
prismarine_crystals,"path","path2"
leather_horse_armor_overlay,"path","path2"

#Row 15
structure_void,"path","path2"
map_filled_markings,"path","path2"
totem,"path","path2"
shulker_shell,"path","path2"
iron_nugget,"path","path2"
rabbit_foot,"path","path2"
rabbit_hide,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
dragon_fireball,"path","path3"

#Row 16
record_13,"path","path2"
record_cat,"path","path2"
record_blocks,"path","path2"
record_chirp,"path","path2"
record_far,"path","path2"
record_mall,"path","path2"
record_mellohi,"path","path2"
record_stal,"path","path2"
record_strad,"path","path2"
record_ward,"path","path2"
record_11,"path","path2"
record_wait,"path","path2"
record_1,"path","path2"
record_2,"path","path2"
record_3,"path","path2"
record_4,"path","path2"

#Row 17
leather_horse_armor,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
blank,"path","path2"
